epochs,train_loss,validation_loss
1,1.197,1.13
2,0.951,1.051
3,0.895,1.019
4,0.864,0.998
5,0.844,1.001
6,0.824,0.975
7,0.809,0.971
8,0.796,0.965
9,0.786,0.964
10,0.776,0.962
11,0.767,0.96
12,0.758,0.959
13,0.75,0.96
14,0.747,0.96
15,0.735,0.961
16,0.728,0.963
17,0.722,0.965
18,0.718,0.967
