epochs,train_loss,validation_loss
1,1.407,1.27
2,1.06,1.155
3,0.983,1.094
4,0.943,1.06
5,0.912,1.039
6,0.89,1.041
7,0.876,1.016
8,0.86,1.004
9,0.853,0.996
10,0.837,0.992
11,0.829,0.987
12,0.827,0.989
13,0.815,0.98
14,0.807,0.979
15,0.802,0.977
16,0.798,0.98
17,0.789,0.977
18,0.786,0.978
19,0.785,0.98
20,0.779,0.978
