epochs,train_loss,validation_loss
1,1.112,1.044
2,0.877,0.945
3,0.815,0.903
4,0.781,0.879
5,0.758,0.866
6,0.74,0.855
7,0.725,0.852
8,0.712,0.844
9,0.701,0.842
10,0.691,0.842
11,0.682,0.84
12,0.674,0.845
13,0.666,0.843
14,0.659,0.846
15,0.652,0.845
16,0.646,0.847
17,0.64,0.851
