epochs,train_loss,validation_loss
1,1.538,1.321
2,1.092,1.191
3,1.017,1.131
4,0.974,1.094
5,0.945,1.072
6,0.921,1.052
7,0.904,1.068
8,0.89,1.029
9,0.878,1.023
10,0.864,1.013
11,0.856,1.009
12,0.847,1.004
13,0.838,1.002
14,0.831,0.998
15,0.826,0.997
16,0.818,0.993
17,0.812,0.994
18,0.808,0.994
19,0.801,0.991
20,0.798,0.996
