epochs,train_loss,validation_loss
1,1.124,1.057
2,0.886,0.95
3,0.819,0.908
4,0.783,0.879
5,0.758,0.867
6,0.74,0.856
7,0.725,0.851
8,0.712,0.847
9,0.701,0.846
10,0.691,0.843
11,0.682,0.843
12,0.674,0.845
13,0.666,0.841
14,0.66,0.845
15,0.653,0.846
16,0.647,0.852
17,0.641,0.847
18,0.635,0.854
19,0.629,0.853
